status_id,status_message,link_name,status_type,status_link,status_time,num_likes,num_comments,num_shares
15087023444_154891414596115,"b'Having already conquered her first round matches on the NYC courts,\ntennis powerhouse Serena Williams proves she\'s ""ready to go all the way""\nto victory (We\'ll cheer to that!).\n\nIn the meantime, we\'ve got you covered with exclusive video footage from the NIKETOWN New York Kickoff. Check out the Nike Tennis team\'s exclusive sit down with Serena Williams.\n\nWatch it now.'",b'Serena Williams Kicks off NYC Tennis at NIKETOWN New York',video,http://www.youtube.com/watch?v=kartqY0IcWo,2011-08-31 18:18:01,0,53,1
15087023444_10150273110928445,"b""Oscar Pistorius just made history at the 2011 IAAF Track & Field World Championships, when he became the 1st double amputee to race against able-bodied sprinters. When Oscar loads up in the blocks, it's not his time for dreaming; It's the time when he makes things happen.\n\nHead over to Nike Running now for more inspiration from the 2011 IAAF Track & Field World Championships.""",b'Timeline Photos',photo,https://www.facebook.com/nike/photos/a.440612488444.242105.15087023444/10150273110648445/?type=3,2011-08-30 17:10:01,0,78,89
15087023444_10150272289783445,"b""Despite serious threats from Mother Nature, NYC is 'serving' up\nsome impressive tennis on the courts: Maria Sharapova vies for her second claim at the crown, as Roger Federer prepares to take back the title he earned 5 consecutive times, the last in 2008. No matter the obstacle, they will not back down.\n\nGet the latest updates on your favorite players at Nike Tennis.""",b'Timeline Photos',photo,https://www.facebook.com/nike/photos/a.440612488444.242105.15087023444/10150272289713445/?type=3,2011-08-29 17:51:30,0,92,63
15087023444_10150254882818445,"b'The votes were tallied and without further delay, we\'d like to send out a huge congrats to the ""FUS"" crew from Germany who is our Nike Chosen winning crew. After 9 long weeks, the final decision was down to a panel of 28 Nike Athletes to decide the winner.  \n\nThe summer contest is now over, but get your footage ready and get your snow/ski crew together for the Nike Chosen winter contest which will begin in October.'",b'Timeline Photos',photo,https://www.facebook.com/nike/photos/a.440612488444.242105.15087023444/10150254882788445/?type=3,2011-08-08 13:27:25,0,392,4
15087023444_191821237545342,"b""As part of Nike Football's Inside Edge, Manchester United was recently put to the test in an intensive all around training session.  \n\nFollow pre-season training with the World's top clubs. Take Every Advantage. http://go.nike.com/Inside_Edge""",b'Inside Edge: Total Access',link,http://www.youtube.com/watch?v=kihXSLFIzzU,2011-07-30 16:05:08,0,129,3
15087023444_128403287247167,"b'Greatness never comes easy, it takes time -- the time to learn, have fun, and commit. Nike 6.0 surfer Carissa Moore has clearly made the most of her time becoming the youngest World Champion surfing has ever seen. Watch the video and congratulate Carissa with a comment. JUST DO IT.'","b""Carissa Moore 2011 ASP Women's World Champion""",link,http://vimeo.com/26486451,2011-07-15 16:08:04,0,667,13
15087023444_10150202730863445,b'Champion.',b'Timeline Photos',photo,https://www.facebook.com/nike/photos/a.440612488444.242105.15087023444/10150202730853445/?type=3,2011-06-12 23:55:36,0,2232,60
15087023444_10150197692533445,b'Rafael Nadal takes his sixth in Paris.',b'Timeline Photos',photo,https://www.facebook.com/nike/photos/a.440612488444.242105.15087023444/10150197692473445/?type=3,2011-06-06 19:33:39,0,433,67
15087023444_10100158315840608,"b""Manny Pacquiao will be back in action this Saturday.  He's just going to be doing his job in the gym, trying to make people happy. BOOM. For the People.""",b'Manny Pacquiao: BOOM. For the People.',video,https://www.facebook.com/nike/videos/10100158315840608/,2011-05-05 18:14:08,0,231,133
15087023444_10150166569533445,"b'#TheBlakeShow: 1845 points, 989 boards, 214 dunks, 63 double-doubles. \n\nCongrats to Blake Griffin, your NBA 2010-11 Rookie of the Year. #EPIC'",b'Timeline Photos',photo,https://www.facebook.com/nike/photos/a.440612488444.242105.15087023444/10150166569468445/?type=3,2011-05-04 16:15:45,0,156,25
15087023444_200892669941820,"b'Nike Cricket - After 28 years, the cricket title returns to India - Bleed Blue!'",b'Nike Cricket: Yards. Just Do It',link,http://www.youtube.com/watch?v=mvRPz_zoTK4,2011-04-04 00:16:43,0,169,5
15087023444_158362917554616,b'Your old PR is a thing of the past.  Destroy Yesterday.',b'DESTROY YESTERDAY',link,http://www.youtube.com/watch?v=jakptVyGa6A,2011-03-14 19:08:42,0,195,2
15087023444_117024751706238,"b'75,000 players. 41 countries. The opportunity to earn a 12-month contract with the Nike Football Academy. \n\nAfter the hope and heartbreak, the pain and commitment, for eight young athletes, The Chance was about excelling when it mattered most.'",b'The Chance - The Constant Battle',link,http://www.youtube.com/watch?v=wuA3fGiFutk&feature=player_embedded,2011-03-10 12:38:55,0,156,4
15087023444_156828387704891,"b'Greatness isn\xe2\x80\x99t a birth right.  It\xe2\x80\x99s earned.   Julian Wilson Surf knows this.  And as he gets set to make his World Tour debut, he also knows the next chapter in his journey there begins now.  How great will he become? '",b'Julian Wilson The Next Chapter Begins Now',link,http://vimeo.com/20347227,2011-02-25 17:33:48,0,160,2
15087023444_482113488444,b'> Nike Football - \xe2\x80\x9cIt\xe2\x80\x99s finally here.  #1 vs. #2 for the BCS Championship.  Yesterday\xe2\x80\x99s Fast is Today\xe2\x80\x99s Slow.  Will the Oregon Ducks win their first national championship?\xe2\x80\x9d',b'Timeline Photos',photo,https://www.facebook.com/nike/photos/a.440612488444.242105.15087023444/482113458444/?type=3,2011-01-10 17:18:15,0,450,212
15087023444_160426537330854,b'Allyson Felix is making herself Proud. Julia Mancuso is making herself Shine. Sofia Boutella is making herself Hot. Watch them show you how they do it. What are you doing to Make Yourself? Tell us: http://go.nike.com/1jacdse',b'Nike Women Make Yourself',link,http://www.youtube.com/watch?v=4B5sfE1fjLs,2010-11-03 17:48:10,0,204,19
15087023444_446224163444,"b'56 years built to one, Giant opportunity.  When you get your chance\xe2\x80\xa6go big.'",b'Timeline Photos',photo,https://www.facebook.com/nike/photos/a.440612488444.242105.15087023444/446224148444/?type=3,2010-11-02 13:10:14,0,227,47
15087023444_1525757263341,"b""Basketball greats - past and present - celebrate Kobe Bryant's quest for a fifth championship ring.""",b'Kobe Bryant: All Together Now',video,https://www.facebook.com/nike/videos/1525757263341/,2010-06-03 17:27:09,0,275,297
